Date,Stock_Market_Indexes
12/11/2018,7031.832
12/12/2018,7098.313
12/13/2018,7070.336
12/14/2018,6910.664
12/17/2018,6753.734
12/18/2018,6783.91
12/19/2018,6636.828
12/20/2018,6528.406
12/21/2018,6332.996
12/24/2018,6192.918
12/25/2018,.
12/26/2018,6554.355
12/27/2018,6579.492
12/28/2018,6584.523
12/31/2018,6635.277
1/1/2019,.
1/2/2019,6665.938
1/3/2019,6463.504
1/4/2019,6738.855
1/7/2019,6823.469
1/8/2019,6897
1/9/2019,6957.078
1/10/2019,6986.066
1/11/2019,6971.477
1/14/2019,6905.914
1/15/2019,7023.836
1/16/2019,7034.691
1/17/2019,7084.465
1/18/2019,7157.227
1/21/2019,.
1/22/2019,7020.355
1/23/2019,7025.766
1/24/2019,7073.461
1/25/2019,7164.863
1/28/2019,7085.684
1/29/2019,7028.289
1/30/2019,7183.078
1/31/2019,7281.738
2/1/2019,7263.867
2/4/2019,7347.535
2/5/2019,7402.086
2/6/2019,7375.281
2/7/2019,7288.352
2/8/2019,7298.199
2/11/2019,7307.906
2/12/2019,7414.617
2/13/2019,7420.379
2/14/2019,7426.953
2/15/2019,7472.41
2/18/2019,.
2/19/2019,7486.766
2/20/2019,7489.07
2/21/2019,7459.707
2/22/2019,7527.543
2/25/2019,7554.461
2/26/2019,7549.297
2/27/2019,7554.508
2/28/2019,7532.531
3/1/2019,7595.352
3/4/2019,7577.566
3/5/2019,7576.359
3/6/2019,7505.918
3/7/2019,7421.465
3/8/2019,7408.141
3/11/2019,7558.063
3/12/2019,7591.031
3/13/2019,7643.406
3/14/2019,7630.91
3/15/2019,7688.527
3/18/2019,7714.477
3/19/2019,7723.945
3/20/2019,7728.969
3/21/2019,7838.961
3/22/2019,7642.668
3/25/2019,7637.543
3/26/2019,7691.523
3/27/2019,7643.379
3/28/2019,7669.164
3/29/2019,7729.32
4/1/2019,7828.91
4/2/2019,7848.688
4/3/2019,7895.551
4/4/2019,7891.785
4/5/2019,7938.691
4/8/2019,7953.883
4/9/2019,7909.277
4/10/2019,7964.242
4/11/2019,7947.359
4/12/2019,7984.164
4/15/2019,7976.012
4/16/2019,8000.227
4/17/2019,7996.078
4/18/2019,7998.063
4/19/2019,7998.063
4/22/2019,8015.266
4/23/2019,8120.82
4/24/2019,8102.016
4/25/2019,8118.684
4/26/2019,8146.398
4/29/2019,8161.852
4/30/2019,8095.387
5/1/2019,8049.641
5/2/2019,8036.773
5/3/2019,8163.996
5/6/2019,8123.289
5/7/2019,7963.758
5/8/2019,7943.32
5/9/2019,7910.586
5/10/2019,7916.941
5/13/2019,7647.023
5/14/2019,7734.492
5/15/2019,7822.148
